issue_date,oracle_pnl,naive_pnl,model_p50_pnl,model_band_pnl,actual_spread,pct_oracle_naive,pct_oracle_p50,pct_oracle_band
2026-04-03,6051.977462995797,4795.642452467233,5683.964989889413,5853.557461012155,156.5800018310547,0.7924091723390747,0.9391913675560494,0.9672140216653381
2026-04-04,5866.762481221929,500.65999059472233,5395.529984422959,5523.087481096387,175.56999695301056,0.0853383773754626,0.9196775907824342,0.9414199907997705
2026-04-05,5948.8799865636975,5739.054983869195,5879.644981581252,5735.697480398696,150.86000061035156,0.9647286542730028,0.9883616739388219,0.9641642617355701
2026-04-06,10579.90990883112,10375.97741395235,10538.382407665253,10280.127418845892,268.5500030517578,0.9807245527952422,0.9960748719484649,0.9716649297991662
2026-04-07,9531.69001990743,8540.035039628856,9139.294970431365,8998.647465624847,243.92000579833982,0.8959623132721006,0.9588325838695417,0.9440768055644596
2026-04-08,9520.909885631874,9472.53491996415,9469.497389065102,9396.462408291176,240.93999481201175,0.9949190816582848,0.9946000437789712,0.986929035267049
2026-04-09,7428.6049508508295,7331.139951651916,7071.539987033233,7001.542468493804,172.0900001525879,0.9868797708528368,0.9519337794673413,0.9425110791080482
2026-04-10,5007.18497467041,3473.9925289154053,4682.610029220581,4794.460023880005,237.42000579833984,0.6938015165185855,0.9351781595663552,0.9575160590498442
2026-04-11,9017.92252111435,-1987.967485666275,8981.482498884201,8617.932481527328,237.45999145507812,-0.22044628139260403,0.9959591555433274,0.955644990445361
2026-04-12,6586.634979657829,3222.229993276298,4808.972486428916,4181.152492456138,157.0500030517578,0.48920731196245687,0.7301106712731088,0.634793412018309
2026-04-13,2580.739990234375,1449.4325199127197,2252.094982147217,2260.2299995422363,122.70999908447266,0.56163446352497,0.8726547388226771,0.8758069422317004
2026-04-14,3609.297508239746,3289.3450202941895,3319.89249420166,3309.1750411987305,192.3600082397461,0.9113532516465794,0.9198168027497327,0.916847401369419
2026-04-15,4519.402507781982,3757.2674980163574,4395.082534790039,4371.457534790039,161.5499954223633,0.8313637680084257,0.9724919449467322,0.9672644840247807
2026-04-16,4708.794918060303,4663.522394180298,4482.572448730469,4442.072448730469,172.01999282836914,0.9903855392583855,0.9519574597606341,0.943356533046951
2026-04-17,5297.604898452759,5158.387392044067,5196.402416229248,5069.689950942993,163.4299945831299,0.9737206701750537,0.9808965590746361,0.9569777376987227
2026-04-18,6799.102488215081,6108.644988710992,6575.2499930216,6553.919985468499,155.9399929046631,0.8984487289754989,0.9670761698942638,0.9639389900105848
2026-04-19,6013.572505714372,5798.625017883256,5576.905022384599,5633.110012771562,134.06999254226685,0.9642562740156766,0.927386344321145,0.9367327004735908
2026-04-20,4051.199977874756,3213.1475467681885,3877.3549938201904,3883.8799800872803,143.98999214172363,0.793134766073383,0.9570880270033563,0.9586986575085709
2026-04-21,7084.912520479411,6976.317516397685,6855.352524351329,6851.3025174848735,159.4400019645691,0.9846723578071254,0.9675987536240533,0.9670271153921418
2026-04-22,8136.61000831984,8078.4249996151775,8067.250003516674,8017.562500080094,205.8699951171875,0.9928489864150836,0.9914755647951365,0.9853689057091322
2026-04-23,8288.202478468418,8274.634981218725,8062.76496482268,8171.687473062426,201.86000442504883,0.9983630350145355,0.9728001922936375,0.9859420657604973
2026-04-24,8208.142533426173,8187.760016891174,8078.405047159642,8111.232556086034,209.7100067138672,0.997516793056164,0.9841940505128659,0.9881934339047487
2026-04-25,12088.252492904663,10658.847507674247,11873.82752084732,11731.56001329422,308.4199981689453,0.8817525538890405,0.9822617063811993,0.9704926349098177
2026-04-26,22489.42003250122,19609.43255650997,22445.702548980713,22376.675046920776,669.2900085449219,0.8719403403098366,0.9980560866639812,0.9949867544197446
2026-04-27,8426.822434045374,7515.662453271449,7956.969976045191,8095.2699590697885,225.3300018310547,0.8918738364424614,0.9442432231511224,0.960655101306505
2026-04-28,7503.592495147139,7370.147506179288,7425.307506935671,7413.315006377175,169.75999450683594,0.9822158533990012,0.9895669989725457,0.9879687644513813
2026-04-29,9338.122456550598,9266.302443504333,9176.962443262339,9166.702448755503,231.43000030517578,0.9923089450389587,0.9827417112981628,0.9816429899487079
2026-04-30,8760.724945992231,8716.044969320297,8609.644935280085,8602.144945412874,225.92000198364258,0.9948999681022546,0.9827548505810285,0.9818987582012945
